conversation_id,speaker_role,agent_claimed_identity,agent_question_type,agent_utterance,customer_utterance,customer_response_type,relationship_detected,relationship_keywords,sensitive_info_requested,sensitive_info_revealed,risk_label
48,agent_to_customer,relative,upi,Please tell me your upi,I cannot share my upi,deny,yes,mother,upi,no,low
49,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
50,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
51,agent_to_customer,relative,account_number,Please tell me your account number,"You are my father, so here it is",reveal,yes,father,account_number,yes,medium
52,agent_to_customer,relative,account_number,Please tell me your account number,I cannot share my account number,deny,yes,father,account_number,no,low
53,agent_to_customer,telecom_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
54,agent_to_customer,telecom_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
55,agent_to_customer,unknown,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
56,agent_to_customer,unknown,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
57,agent_to_customer,bank_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
58,agent_to_customer,bank_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
59,agent_to_customer,bank_agent,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
60,agent_to_customer,bank_agent,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
61,agent_to_customer,bank_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
62,agent_to_customer,bank_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
63,agent_to_customer,relative,login_password,Please tell me your login password,"You are my friend, so here it is",reveal,yes,friend,login_password,yes,medium
64,agent_to_customer,relative,login_password,Please tell me your login password,I cannot share my login password,deny,yes,friend,login_password,no,low
65,agent_to_customer,unknown,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
66,agent_to_customer,unknown,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
67,agent_to_customer,telecom_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
68,agent_to_customer,telecom_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
69,agent_to_customer,relative,pin,Please tell me your pin,"You are my brother, so here it is",reveal,yes,brother,pin,yes,medium
70,agent_to_customer,relative,pin,Please tell me your pin,I cannot share my pin,deny,yes,brother,pin,no,low
71,agent_to_customer,relative,pin,Please tell me your pin,"You are my friend, so here it is",reveal,yes,friend,pin,yes,medium
72,agent_to_customer,relative,pin,Please tell me your pin,I cannot share my pin,deny,yes,friend,pin,no,low
73,agent_to_customer,unknown,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
74,agent_to_customer,unknown,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
75,agent_to_customer,bank_agent,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
76,agent_to_customer,bank_agent,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
77,agent_to_customer,unknown,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
78,agent_to_customer,unknown,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
79,agent_to_customer,unknown,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
80,agent_to_customer,unknown,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
81,agent_to_customer,telecom_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
82,agent_to_customer,telecom_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
83,agent_to_customer,relative,account_number,Please tell me your account number,"You are my son, so here it is",reveal,yes,son,account_number,yes,medium
84,agent_to_customer,relative,account_number,Please tell me your account number,I cannot share my account number,deny,yes,son,account_number,no,low
85,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
86,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
87,agent_to_customer,relative,pin,Please tell me your pin,"You are my father, so here it is",reveal,yes,father,pin,yes,medium
88,agent_to_customer,relative,pin,Please tell me your pin,I cannot share my pin,deny,yes,father,pin,no,low
89,agent_to_customer,bank_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
90,agent_to_customer,bank_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
91,agent_to_customer,telecom_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
92,agent_to_customer,telecom_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
93,agent_to_customer,telecom_agent,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
94,agent_to_customer,telecom_agent,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
95,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,My aadhaar is shared,reveal,no,,aadhaar,yes,high
96,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,no,,aadhaar,no,low
97,agent_to_customer,bank_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
98,agent_to_customer,bank_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
99,agent_to_customer,bank_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
100,agent_to_customer,bank_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
101,agent_to_customer,relative,pin,Please tell me your pin,"You are my mother, so here it is",reveal,yes,mother,pin,yes,medium
102,agent_to_customer,relative,pin,Please tell me your pin,I cannot share my pin,deny,yes,mother,pin,no,low
103,agent_to_customer,unknown,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
104,agent_to_customer,unknown,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
105,agent_to_customer,unknown,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
106,agent_to_customer,unknown,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
107,agent_to_customer,bank_agent,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
108,agent_to_customer,bank_agent,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
109,agent_to_customer,telecom_agent,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
110,agent_to_customer,telecom_agent,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
111,agent_to_customer,relative,account_number,Please tell me your account number,"You are my father, so here it is",reveal,yes,father,account_number,yes,medium
112,agent_to_customer,relative,account_number,Please tell me your account number,I cannot share my account number,deny,yes,father,account_number,no,low
113,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
114,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
115,agent_to_customer,bank_agent,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
116,agent_to_customer,bank_agent,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
117,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,My aadhaar is shared,reveal,no,,aadhaar,yes,high
118,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,no,,aadhaar,no,low
119,agent_to_customer,bank_agent,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
120,agent_to_customer,bank_agent,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
121,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
122,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
123,agent_to_customer,telecom_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
124,agent_to_customer,telecom_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
125,agent_to_customer,telecom_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
126,agent_to_customer,telecom_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
127,agent_to_customer,relative,otp,Please tell me your otp,"You are my friend, so here it is",reveal,yes,friend,otp,yes,medium
128,agent_to_customer,relative,otp,Please tell me your otp,I cannot share my otp,deny,yes,friend,otp,no,low
129,agent_to_customer,telecom_agent,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
130,agent_to_customer,telecom_agent,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
131,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
132,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
133,agent_to_customer,telecom_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
134,agent_to_customer,telecom_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
135,agent_to_customer,bank_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
136,agent_to_customer,bank_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
137,agent_to_customer,telecom_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
138,agent_to_customer,telecom_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
139,agent_to_customer,unknown,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
140,agent_to_customer,unknown,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
141,agent_to_customer,telecom_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
142,agent_to_customer,telecom_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
143,agent_to_customer,bank_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
144,agent_to_customer,bank_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
145,agent_to_customer,relative,account_number,Please tell me your account number,"You are my brother, so here it is",reveal,yes,brother,account_number,yes,medium
146,agent_to_customer,relative,account_number,Please tell me your account number,I cannot share my account number,deny,yes,brother,account_number,no,low
147,agent_to_customer,unknown,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
148,agent_to_customer,unknown,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
149,agent_to_customer,relative,upi,Please tell me your upi,"You are my mother, so here it is",reveal,yes,mother,upi,yes,medium
150,agent_to_customer,relative,upi,Please tell me your upi,I cannot share my upi,deny,yes,mother,upi,no,low
151,agent_to_customer,telecom_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
152,agent_to_customer,telecom_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
153,agent_to_customer,telecom_agent,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
154,agent_to_customer,telecom_agent,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
155,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
156,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
157,agent_to_customer,bank_agent,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
158,agent_to_customer,bank_agent,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
159,agent_to_customer,unknown,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
160,agent_to_customer,unknown,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
161,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,My aadhaar is shared,reveal,no,,aadhaar,yes,high
162,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,no,,aadhaar,no,low
163,agent_to_customer,unknown,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
164,agent_to_customer,unknown,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
165,agent_to_customer,relative,login_password,Please tell me your login password,"You are my friend, so here it is",reveal,yes,friend,login_password,yes,medium
166,agent_to_customer,relative,login_password,Please tell me your login password,I cannot share my login password,deny,yes,friend,login_password,no,low
167,agent_to_customer,bank_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
168,agent_to_customer,bank_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
169,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
170,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
171,agent_to_customer,relative,pin,Please tell me your pin,"You are my mother, so here it is",reveal,yes,mother,pin,yes,medium
172,agent_to_customer,relative,pin,Please tell me your pin,I cannot share my pin,deny,yes,mother,pin,no,low
173,agent_to_customer,bank_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
174,agent_to_customer,bank_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
175,agent_to_customer,unknown,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
176,agent_to_customer,unknown,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
177,agent_to_customer,unknown,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
178,agent_to_customer,unknown,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
179,agent_to_customer,telecom_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
180,agent_to_customer,telecom_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
181,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
182,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
183,agent_to_customer,bank_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
184,agent_to_customer,bank_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
185,agent_to_customer,unknown,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
186,agent_to_customer,unknown,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
187,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,My aadhaar is shared,reveal,no,,aadhaar,yes,high
188,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,no,,aadhaar,no,low
189,agent_to_customer,relative,aadhaar,Please tell me your aadhaar,"You are my brother, so here it is",reveal,yes,brother,aadhaar,yes,medium
190,agent_to_customer,relative,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,yes,brother,aadhaar,no,low
191,agent_to_customer,relative,account_number,Please tell me your account number,"You are my friend, so here it is",reveal,yes,friend,account_number,yes,medium
192,agent_to_customer,relative,account_number,Please tell me your account number,I cannot share my account number,deny,yes,friend,account_number,no,low
193,agent_to_customer,relative,otp,Please tell me your otp,"You are my father, so here it is",reveal,yes,father,otp,yes,medium
194,agent_to_customer,relative,otp,Please tell me your otp,I cannot share my otp,deny,yes,father,otp,no,low
195,agent_to_customer,bank_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
196,agent_to_customer,bank_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
197,agent_to_customer,unknown,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
198,agent_to_customer,unknown,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
199,agent_to_customer,telecom_agent,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
200,agent_to_customer,telecom_agent,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
201,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
202,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
203,agent_to_customer,telecom_agent,login_password,Please tell me your login password,My login password is shared,reveal,no,,login_password,yes,high
204,agent_to_customer,telecom_agent,login_password,Please tell me your login password,I cannot share my login password,deny,no,,login_password,no,low
205,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,My aadhaar is shared,reveal,no,,aadhaar,yes,high
206,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,no,,aadhaar,no,low
207,agent_to_customer,unknown,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
208,agent_to_customer,unknown,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
209,agent_to_customer,unknown,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
210,agent_to_customer,unknown,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
211,agent_to_customer,unknown,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
212,agent_to_customer,unknown,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
213,agent_to_customer,telecom_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
214,agent_to_customer,telecom_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
215,agent_to_customer,unknown,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
216,agent_to_customer,unknown,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
217,agent_to_customer,unknown,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
218,agent_to_customer,unknown,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
219,agent_to_customer,unknown,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
220,agent_to_customer,unknown,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
221,agent_to_customer,bank_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
222,agent_to_customer,bank_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
223,agent_to_customer,telecom_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
224,agent_to_customer,telecom_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
225,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,My aadhaar is shared,reveal,no,,aadhaar,yes,high
226,agent_to_customer,telecom_agent,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,no,,aadhaar,no,low
227,agent_to_customer,unknown,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
228,agent_to_customer,unknown,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
229,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
230,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
231,agent_to_customer,telecom_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
232,agent_to_customer,telecom_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
233,agent_to_customer,bank_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
234,agent_to_customer,bank_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
235,agent_to_customer,relative,upi,Please tell me your upi,"You are my father, so here it is",reveal,yes,father,upi,yes,medium
236,agent_to_customer,relative,upi,Please tell me your upi,I cannot share my upi,deny,yes,father,upi,no,low
237,agent_to_customer,telecom_agent,otp,Please tell me your otp,My otp is shared,reveal,no,,otp,yes,high
238,agent_to_customer,telecom_agent,otp,Please tell me your otp,I cannot share my otp,deny,no,,otp,no,low
239,agent_to_customer,relative,pin,Please tell me your pin,"You are my brother, so here it is",reveal,yes,brother,pin,yes,medium
240,agent_to_customer,relative,pin,Please tell me your pin,I cannot share my pin,deny,yes,brother,pin,no,low
241,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,My cvv is shared,reveal,no,,cvv,yes,high
242,agent_to_customer,telecom_agent,cvv,Please tell me your cvv,I cannot share my cvv,deny,no,,cvv,no,low
243,agent_to_customer,unknown,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
244,agent_to_customer,unknown,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
245,agent_to_customer,bank_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
246,agent_to_customer,bank_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
247,agent_to_customer,bank_agent,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
248,agent_to_customer,bank_agent,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
249,agent_to_customer,telecom_agent,upi,Please tell me your upi,My upi is shared,reveal,no,,upi,yes,high
250,agent_to_customer,telecom_agent,upi,Please tell me your upi,I cannot share my upi,deny,no,,upi,no,low
251,agent_to_customer,unknown,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
252,agent_to_customer,unknown,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
253,agent_to_customer,bank_agent,aadhaar,Please tell me your aadhaar,My aadhaar is shared,reveal,no,,aadhaar,yes,high
254,agent_to_customer,bank_agent,aadhaar,Please tell me your aadhaar,I cannot share my aadhaar,deny,no,,aadhaar,no,low
255,agent_to_customer,bank_agent,pin,Please tell me your pin,My pin is shared,reveal,no,,pin,yes,high
256,agent_to_customer,bank_agent,pin,Please tell me your pin,I cannot share my pin,deny,no,,pin,no,low
257,agent_to_customer,unknown,account_number,Please tell me your account number,My account number is shared,reveal,no,,account_number,yes,high
258,agent_to_customer,unknown,account_number,Please tell me your account number,I cannot share my account number,deny,no,,account_number,no,low
259,agent_to_customer,relative,otp,Please tell me your otp,"You are my mother, so here it is",reveal,yes,mother,otp,yes,medium
260,agent_to_customer,relative,otp,Please tell me your otp,I cannot share my otp,deny,yes,mother,otp,no,low
261,agent_to_customer,relative,account_number,Please tell me your account number,"You are my father, so here it is",reveal,yes,father,account_number,yes,medium
262,agent_to_customer,relative,account_number,Please tell me your account number,I cannot share my account number,deny,yes,father,account_number,no,low
263,agent_to_customer,relative,upi,Please tell me your upi,"You are my son, so here it is",reveal,yes,son,upi,yes,medium
